"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 28 12:56:48 EET 2020","Wed Oct 28 12:56:50 EET 2020","1875","Default Suite","APIs","Com.APIs.PartDataSearch.POST_ValidateUploadedParts_TC029","Com.APIs.PartDataSearch.POST_ValidateUploadedParts_TC029","ValidateUploadedParts2","ValidateUploadedParts2",""
"passed","Wed Oct 28 12:55:10 EET 2020","Wed Oct 28 12:55:12 EET 2020","2140","Default Suite","APIs","Com.APIs.Company.GET_CompanyPatentsByCompanyID_TC012","Com.APIs.Company.GET_CompanyPatentsByCompanyID_TC012","CompanyPatentsByCompanyID","CompanyPatentsByCompanyID",""
"passed","Wed Oct 28 12:55:47 EET 2020","Wed Oct 28 12:55:49 EET 2020","1890","Default Suite","APIs","Com.APIs.PartDataSearch.GET_ParametricFeaturesByProductID_TC014","Com.APIs.PartDataSearch.GET_ParametricFeaturesByProductID_TC014","ParametricFeaturesByProductID","ParametricFeaturesByProductID",""
"passed","Wed Oct 28 12:54:30 EET 2020","Wed Oct 28 12:54:32 EET 2020","2205","Default Suite","APIs","Com.APIs.Company.GET_CompanyComplinceDataBySupplier_TC002","Com.APIs.Company.GET_CompanyComplinceDataBySupplier_TC002","CompanyComplianceDataBySupplierName","CompanyComplianceDataBySupplierName",""
"passed","Wed Oct 28 12:54:39 EET 2020","Wed Oct 28 12:54:42 EET 2020","2406","Default Suite","APIs","Com.APIs.Company.GET_CompanyDistributorsDataBySupplierName_TC003","Com.APIs.Company.GET_CompanyDistributorsDataBySupplierName_TC003","CompanyDistributorsDataBySupplierName","CompanyDistributorsDataBySupplierName",""
"passed","Wed Oct 28 12:54:27 EET 2020","Wed Oct 28 12:54:30 EET 2020","2867","Default Suite","APIs","Com.APIs.Company.GET_CompanyCompetitorsByCompanyID_TC008","Com.APIs.Company.GET_CompanyCompetitorsByCompanyID_TC008","GetCompanyCompetitorsByCompanyID","GetCompanyCompetitorsByCompanyID",""
"passed","Wed Oct 28 12:54:32 EET 2020","Wed Oct 28 12:54:34 EET 2020","2049","Default Suite","APIs","Com.APIs.Company.GET_CompanyDetailsByName_TC001","Com.APIs.Company.GET_CompanyDetailsByName_TC001","CompanyDetailsByName","CompanyDetailsByName",""
"passed","Wed Oct 28 12:56:42 EET 2020","Wed Oct 28 12:56:44 EET 2020","2635","Default Suite","APIs","Com.APIs.PartDataSearch.POST_PartDataWithParametricFilters_TC022","Com.APIs.PartDataSearch.POST_PartDataWithParametricFilters_TC022","POST_PartDataWithParametricFilters","POST_PartDataWithParametricFilters",""
"passed","Wed Oct 28 12:56:36 EET 2020","Wed Oct 28 12:56:38 EET 2020","1878","Default Suite","APIs","Com.APIs.PartDataSearch.POST_ModifyUploadedParts_DELETE_GeneralKey_TC026","Com.APIs.PartDataSearch.POST_ModifyUploadedParts_DELETE_GeneralKey_TC026","POST_ModifyUploadedParts_DELETE_GeneralKey","POST_ModifyUploadedParts_DELETE_GeneralKey",""
"passed","Wed Oct 28 12:55:12 EET 2020","Wed Oct 28 12:55:14 EET 2020","1890","Default Suite","APIs","Com.APIs.Company.GET_CompanyProfileByCompanyID_TC016","Com.APIs.Company.GET_CompanyProfileByCompanyID_TC016","CompanyProfileByCompanyID","CompanyProfileByCompanyID",""
"passed","Wed Oct 28 12:55:34 EET 2020","Wed Oct 28 12:55:36 EET 2020","2006","Default Suite","APIs","Com.APIs.Company.GET_GetCompanyFinancialDataByName_TC004","Com.APIs.Company.GET_GetCompanyFinancialDataByName_TC004","GetCompanyFinancialDataByName","GetCompanyFinancialDataByName",""
"passed","Wed Oct 28 12:54:42 EET 2020","Wed Oct 28 12:54:44 EET 2020","2541","Default Suite","APIs","Com.APIs.Company.GET_CompanyExecutivesByCompanyID_TC023","Com.APIs.Company.GET_CompanyExecutivesByCompanyID_TC023","GetCompanyExecutivesByCompanyID","GetCompanyExecutivesByCompanyID",""
"passed","Wed Oct 28 12:54:56 EET 2020","Wed Oct 28 12:54:58 EET 2020","2087","Default Suite","APIs","Com.APIs.Company.GET_CompanyHistoryByCompanyID_017","Com.APIs.Company.GET_CompanyHistoryByCompanyID_017","GetCompanyHistoryByCompanyID","GetCompanyHistoryByCompanyID",""
"passed","Wed Oct 28 12:56:46 EET 2020","Wed Oct 28 12:56:48 EET 2020","1858","Default Suite","APIs","Com.APIs.PartDataSearch.POST_ValidateUploadedParts_TC029","Com.APIs.PartDataSearch.POST_ValidateUploadedParts_TC029","ValidateUploadedParts","ValidateUploadedParts",""
"passed","Wed Oct 28 12:55:49 EET 2020","Wed Oct 28 12:55:52 EET 2020","3412","Default Suite","APIs","Com.APIs.PartDataSearch.GET_PartDataByKeySearch_PartConfig_TC002","Com.APIs.PartDataSearch.GET_PartDataByKeySearch_PartConfig_TC002","PartDataByKeySearch_PartConfig","PartDataByKeySearch_PartConfig",""
"failed","Wed Oct 28 12:55:14 EET 2020","Wed Oct 28 12:55:17 EET 2020","2365","Default Suite","APIs","Com.APIs.Company.GET_CompanyRelationshipsByCompanyID_TC009","Com.APIs.Company.GET_CompanyRelationshipsByCompanyID_TC009","CompanyRelationshipsByCompanyID","CompanyRelationshipsByCompanyID",""
"passed","Wed Oct 28 12:54:19 EET 2020","Wed Oct 28 12:54:24 EET 2020","5033","Default Suite","APIs","Com.APIs.PartDataSearch.GET_ChemicalDataByPartID_TC020","Com.APIs.PartDataSearch.GET_ChemicalDataByPartID_TC020","GetChemicalDataByPartID","GetChemicalDataByPartID",""
"passed","Wed Oct 28 12:56:22 EET 2020","Wed Oct 28 12:56:25 EET 2020","3410","Default Suite","APIs","Com.APIs.PartDataSearch.GET_UpdatedPartDataWithinDateRange_TC016","Com.APIs.PartDataSearch.GET_UpdatedPartDataWithinDateRange_TC016","_UpdatedPartDataWithinDateRange","_UpdatedPartDataWithinDateRange",""
"passed","Wed Oct 28 12:55:26 EET 2020","Wed Oct 28 12:55:29 EET 2020","3367","Default Suite","APIs","Com.APIs.PartDataSearch.GET_ComplianceWithCMByPartID_TC017","Com.APIs.PartDataSearch.GET_ComplianceWithCMByPartID_TC017","ComplianceWithCMByPartID","ComplianceWithCMByPartID",""
"passed","Wed Oct 28 12:56:15 EET 2020","Wed Oct 28 12:56:19 EET 2020","4530","Default Suite","APIs","Com.APIs.PartDataSearch.GET_ProductLineList_TC0012","Com.APIs.PartDataSearch.GET_ProductLineList_TC0012","ProductLineList","ProductLineList",""
"passed","Wed Oct 28 12:56:01 EET 2020","Wed Oct 28 12:56:02 EET 2020","1926","Default Suite","APIs","Com.APIs.PartDataSearch.GET_PartDetailsBySearchCustom_EmptyInput_TC008","Com.APIs.PartDataSearch.GET_PartDetailsBySearchCustom_EmptyInput_TC008","PartDetailsBySearchCustom_EmptyInput","PartDetailsBySearchCustom_EmptyInput",""
"passed","Wed Oct 28 12:55:06 EET 2020","Wed Oct 28 12:55:08 EET 2020","1977","Default Suite","APIs","Com.APIs.Company.GET_CompanyOwnerOfShareByCompanyID_TC030","Com.APIs.Company.GET_CompanyOwnerOfShareByCompanyID_TC030","GetCompanyOwnerOfShareByCompanyID","GetCompanyOwnerOfShareByCompanyID",""
"passed","Wed Oct 28 12:55:57 EET 2020","Wed Oct 28 12:56:01 EET 2020","3097","Default Suite","APIs","Com.APIs.PartDataSearch.GET_PartDetailsBySearch_TC006","Com.APIs.PartDataSearch.GET_PartDetailsBySearch_TC006","PartDetailsBySearch","PartDetailsBySearch",""
"failed","Wed Oct 28 12:54:34 EET 2020","Wed Oct 28 12:54:36 EET 2020","2013","Default Suite","APIs","Com.APIs.Company.GET_CompanyDirectorsByCompanyID_TC022","Com.APIs.Company.GET_CompanyDirectorsByCompanyID_TC022","CompanyDirectorsByCompanyID","CompanyDirectorsByCompanyID",""
"passed","Wed Oct 28 12:56:07 EET 2020","Wed Oct 28 12:56:12 EET 2020","4231","Default Suite","APIs","Com.APIs.PartDataSearch.GET_PartDetailsBySearchCustom_TC007","Com.APIs.PartDataSearch.GET_PartDetailsBySearchCustom_TC007","PartDetailsBySearchCustom","PartDetailsBySearchCustom",""
"passed","Wed Oct 28 12:55:00 EET 2020","Wed Oct 28 12:55:02 EET 2020","2216","Default Suite","APIs","Com.APIs.Company.GET_CompanyKeyPersonsByCompanyID_TC021","Com.APIs.Company.GET_CompanyKeyPersonsByCompanyID_TC021","CompanyKeyPersonsByCompanyID","CompanyKeyPersonsByCompanyID",""
"passed","Wed Oct 28 12:56:32 EET 2020","Wed Oct 28 12:56:34 EET 2020","2132","Default Suite","APIs","Com.APIs.PartDataSearch.POST_ModifyUploadedParts_ADD_GenralKey_TC023","Com.APIs.PartDataSearch.POST_ModifyUploadedParts_ADD_GenralKey_TC023","ModifyUploadedParts_ADD_GenralKey","ModifyUploadedParts_ADD_GenralKey",""
"passed","Wed Oct 28 12:55:55 EET 2020","Wed Oct 28 12:55:57 EET 2020","2827","Default Suite","APIs","Com.APIs.PartDataSearch.GET_PartDataByPartId_TC003","Com.APIs.PartDataSearch.GET_PartDataByPartId_TC003","PartDataByPartId","PartDataByPartId",""
"passed","Wed Oct 28 12:54:24 EET 2020","Wed Oct 28 12:54:27 EET 2020","2865","Default Suite","APIs","Com.APIs.Company.GET_CompanyAcquisitionsByCompanyID_TC018","Com.APIs.Company.GET_CompanyAcquisitionsByCompanyID_TC018","CompanyAcquisitionsByCompanyID","CompanyAcquisitionsByCompanyID",""
